# pano poses v1.0: ID; filename; timestamp; pano_pos_x; pano_pos_y; pano_pos_z; pano_ori_w; pano_ori_x; pano_ori_y; pano_ori_z
105; 00105-pano.jpg; 1720147420.571439; -10.136141; -38.736049; 1.242395; 0.969069; -0.007643; -0.023724; 0.245527
106; 00106-pano.jpg; 1720147424.690334; -7.710441; -37.549539; 1.225611; 0.952242; 0.007553; 0.004209; 0.305223
107; 00107-pano.jpg; 1720147429.321139; -8.846667; -39.328619; 1.253158; -0.200998; 0.003429; 0.007463; 0.979557
108; 00108-pano.jpg; 1720147435.193979; -13.385025; -41.548763; 1.240312; -0.242407; 0.007606; -0.002067; 0.970143
109; 00109-pano.jpg; 1720147441.681755; -18.644870; -44.159704; 1.259845; -0.200469; 0.040195; 0.008051; 0.978842
110; 00110-pano.jpg; 1720147447.991539; -23.947628; -46.558683; 1.237678; -0.288464; 0.024805; 0.013749; 0.957071
111; 00111-pano.jpg; 1720147453.652308; -28.530931; -48.695755; 1.262551; -0.214666; 0.003445; 0.005539; 0.976666
112; 00112-pano.jpg; 1720147457.794222; -31.551720; -48.558882; 1.235265; 0.217288; 0.022062; -0.005287; 0.975844
113; 00113-pano.jpg; 1720147462.892018; -33.436973; -45.343589; 1.254613; 0.126278; 0.000237; -0.022906; 0.991730
114; 00114-pano.jpg; 1720147468.955854; -37.661018; -45.718396; 1.082927; 0.546851; -0.011292; -0.019258; -0.836932
115; 00115-pano.jpg; 1720147473.293820; -40.161485; -44.644703; 1.065484; 0.179611; 0.011181; 0.002975; 0.983670
116; 00116-pano.jpg; 1720147480.133453; -44.940801; -42.487960; 1.008550; -0.121021; -0.015884; 0.003642; 0.992516
117; 00117-pano.jpg; 1720147484.654294; -45.398865; -39.718322; 0.975358; 0.590314; -0.014527; -0.005040; 0.807027
118; 00118-pano.jpg; 1720147489.819142; -47.445350; -36.359086; 0.975885; 0.268743; 0.007027; 0.007675; 0.963156
119; 00119-pano.jpg; 1720147497.406832; -53.804462; -38.181074; 1.084936; -0.480950; 0.034068; -0.008365; 0.876046
120; 00120-pano.jpg; 1720147502.208674; -57.486689; -37.365426; 1.049722; 0.226154; 0.038749; -0.000498; 0.973320
121; 00121-pano.jpg; 1720147507.309506; -61.307846; -36.803932; 0.837068; 0.159306; 0.048315; -0.000106; 0.986046
122; 00122-pano.jpg; 1720147510.906337; -63.676763; -35.831326; 0.788357; 0.170239; 0.024229; -0.011000; 0.985043
123; 00123-pano.jpg; 1720147517.730157; -69.231026; -33.522578; 0.803266; 0.191183; 0.006014; -0.014910; 0.981423
124; 00124-pano.jpg; 1720147523.749943; -73.871128; -31.524786; 0.853596; 0.147640; 0.022646; -0.008581; 0.988745
125; 00125-pano.jpg; 1720147530.599745; -78.561583; -29.632365; 0.911647; 0.186876; -0.021577; -0.007980; 0.982114
126; 00126-pano.jpg; 1720147535.758552; -81.764322; -28.337488; 0.859477; 0.198096; -0.011907; -0.009674; 0.980062
127; 00127-pano.jpg; 1720147540.915320; -85.176484; -26.597303; 1.135645; 0.207692; 0.035767; -0.008449; 0.977504
128; 00128-pano.jpg; 1720147545.835175; -88.998352; -24.869302; 1.080114; 0.214377; 0.040470; -0.023625; 0.975626
129; 00129-pano.jpg; 1720147551.852982; -92.899985; -23.385898; 1.189627; -0.032043; 0.019431; 0.000511; 0.999297
130; 00130-pano.jpg; 1720147558.624700; -96.878430; -21.982687; 0.916780; 0.217150; 0.000447; -0.028067; 0.975735
131; 00131-pano.jpg; 1720147563.826563; -100.874178; -20.232038; 0.884173; 0.553489; 0.010718; -0.011765; 0.832704
132; 00132-pano.jpg; 1720147569.615414; -98.367676; -18.483360; 1.046845; 0.961359; -0.033175; -0.034225; 0.271138
